outcome,model,roc_auc,average_precision,brier,spearman,mae
strict_success,semantic_only_1d,0.7298941159573996,0.43761117901968133,0.1739427080058496,0.3545127669483771,
strict_success,collapsed_total_1d,0.7735804556704864,0.5343750411355667,0.16521916586958962,0.4215505653969454,
strict_success,typed_2d,0.7725157000525021,0.533908836478023,0.1650349532587456,0.4198971611020523,
strict_success,typed_2d_interaction,0.771265057250033,0.5331874056596456,0.16446786156098714,0.4179701478540469,
usable_success,semantic_only_1d,0.7457650837812233,0.6871798769129058,0.20386643793776896,0.42602163100127943,
usable_success,collapsed_total_1d,0.7870857465994493,0.7552412788254258,0.19146724959812844,0.497260180473873,
usable_success,typed_2d,0.7866494813629915,0.7556031475223213,0.1914083493471832,0.4964894398421936,
usable_success,typed_2d_interaction,0.785497529929909,0.7552391060272408,0.19070065046228055,0.49449420952071416,
heldout_total_penalty,semantic_only_1d,,,,0.5096984504958496,2.6820675183027514
heldout_total_penalty,collapsed_total_1d,,,,0.5811120576140072,2.5242637117816393
heldout_total_penalty,typed_2d,,,,0.5811718553511734,2.5244256109388266
heldout_total_penalty,typed_2d_interaction,,,,0.5810319781084071,2.518798138326568
